进车顺序,车型,动力,驱动
1,B,燃油,两驱
2,A,混动,两驱
3,A,混动,两驱
4,A,燃油,两驱
5,A,混动,两驱
6,A,燃油,两驱
7,A,燃油,两驱
8,A,燃油,两驱
9,A,混动,两驱
10,A,混动,两驱
11,A,燃油,两驱
12,A,燃油,两驱
13,A,混动,两驱
14,A,混动,两驱
15,A,混动,两驱
16,B,燃油,两驱
17,A,混动,两驱
18,B,混动,两驱
19,A,混动,两驱
20,A,混动,两驱
21,A,燃油,两驱
22,B,燃油,四驱
23,A,燃油,两驱
24,A,混动,两驱
25,A,混动,两驱
26,B,燃油,四驱
27,A,混动,两驱
28,A,燃油,两驱
29,A,混动,两驱
30,A,燃油,两驱
31,A,燃油,四驱
32,A,燃油,两驱
33,A,混动,两驱
34,A,混动,两驱
35,A,燃油,四驱
36,A,混动,两驱
37,A,混动,两驱
38,A,混动,两驱
39,A,混动,两驱
40,A,混动,两驱
41,A,混动,两驱
42,A,混动,两驱
43,A,燃油,四驱
44,A,混动,两驱
45,A,燃油,四驱
46,A,混动,两驱
47,A,混动,两驱
48,A,混动,两驱
49,A,混动,两驱
50,A,混动,两驱
51,A,燃油,两驱
52,B,燃油,两驱
53,A,混动,两驱
54,B,燃油,两驱
55,A,混动,两驱
56,B,燃油,两驱
57,A,燃油,两驱
58,B,燃油,两驱
59,A,混动,两驱
60,B,燃油,两驱
61,A,混动,两驱
62,B,燃油,两驱
63,A,混动,两驱
64,A,燃油,四驱
65,A,混动,两驱
66,B,燃油,两驱
67,A,混动,两驱
68,B,燃油,两驱
69,A,混动,两驱
70,B,燃油,两驱
71,A,混动,两驱
72,B,燃油,两驱
73,A,混动,两驱
74,A,混动,两驱
75,A,混动,两驱
76,A,混动,两驱
77,A,混动,两驱
78,A,混动,两驱
79,A,混动,两驱
80,A,混动,两驱
81,A,混动,两驱
82,A,混动,两驱
83,A,混动,两驱
84,A,混动,两驱
85,A,混动,两驱
86,A,混动,两驱
87,A,混动,两驱
88,A,混动,两驱
89,A,混动,两驱
90,A,混动,两驱
91,A,混动,两驱
92,A,混动,两驱
93,A,混动,两驱
94,A,混动,两驱
95,A,混动,两驱
96,A,混动,两驱
97,A,混动,两驱
98,A,混动,两驱
99,A,混动,两驱
100,A,燃油,四驱
101,A,混动,两驱
102,A,燃油,两驱
103,A,燃油,两驱
104,A,燃油,两驱
105,A,混动,两驱
106,B,燃油,四驱
107,A,燃油,两驱
108,A,燃油,两驱
109,A,燃油,两驱
110,A,燃油,两驱
111,A,混动,两驱
112,A,燃油,两驱
113,A,混动,两驱
114,A,燃油,两驱
115,A,燃油,两驱
116,A,混动,两驱
117,A,燃油,两驱
118,A,混动,两驱
119,B,燃油,两驱
120,B,燃油,两驱
121,A,混动,两驱
122,A,混动,两驱
123,A,燃油,两驱
124,A,混动,两驱
125,A,混动,两驱
126,A,燃油,两驱
127,B,燃油,两驱
128,A,燃油,两驱
129,A,混动,两驱
130,A,燃油,两驱
131,B,燃油,两驱
132,A,混动,两驱
133,B,燃油,两驱
134,A,燃油,四驱
135,B,燃油,两驱
136,A,混动,两驱
137,B,燃油,两驱
138,A,燃油,两驱
139,B,燃油,两驱
140,A,燃油,两驱
141,B,燃油,两驱
142,A,燃油,四驱
143,B,燃油,两驱
144,A,混动,两驱
145,A,混动,两驱
146,A,混动,两驱
147,A,混动,两驱
148,A,混动,两驱
149,B,燃油,两驱
150,B,燃油,两驱
151,A,混动,两驱
152,A,混动,两驱
153,A,混动,两驱
154,A,混动,两驱
155,A,混动,两驱
156,A,混动,两驱
157,A,混动,两驱
158,A,混动,两驱
159,A,混动,两驱
160,A,燃油,两驱
161,A,混动,两驱
162,A,混动,两驱
163,A,混动,两驱
164,A,混动,两驱
165,A,混动,两驱
166,A,燃油,两驱
167,A,混动,两驱
168,A,混动,两驱
169,A,混动,两驱
170,A,混动,两驱
171,A,混动,两驱
172,A,燃油,两驱
173,A,混动,两驱
174,A,混动,两驱
175,A,混动,两驱
176,A,混动,两驱
177,A,混动,两驱
178,B,燃油,两驱
179,A,混动,两驱
180,A,混动,两驱
181,A,混动,两驱
182,A,混动,两驱
183,A,混动,两驱
184,A,混动,两驱
185,A,混动,两驱
186,A,混动,两驱
187,B,燃油,两驱
188,A,混动,两驱
189,A,混动,两驱
190,A,混动,两驱
191,A,混动,两驱
192,A,混动,两驱
193,A,混动,两驱
194,A,混动,两驱
195,A,混动,两驱
196,A,混动,两驱
197,A,混动,两驱
198,A,混动,两驱
199,A,燃油,两驱
200,A,混动,两驱
201,A,混动,两驱
202,A,混动,两驱
203,A,燃油,四驱
204,A,混动,两驱
205,A,燃油,两驱
206,A,混动,两驱
207,A,混动,两驱
208,A,混动,两驱
209,A,混动,两驱
210,A,混动,两驱
211,A,混动,两驱
212,A,混动,两驱
213,A,混动,两驱
214,A,混动,两驱
215,A,混动,两驱
216,A,混动,两驱
217,A,混动,两驱
218,A,混动,两驱
219,A,混动,两驱
220,A,混动,两驱
221,A,混动,两驱
222,A,混动,两驱
